date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:13:54	16279/16279	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2010:13:53%20GMT	https://notube.net/de/dmca	C:/Users/Hamza/Desktop/YouTube%20MP3/notube.net/de/dmca.html	(from https://notube.net/convert-de/de)
13:13:54	14020/14020	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2010:13:54%20GMT	https://notube.net/pt/faq	C:/Users/Hamza/Desktop/YouTube%20MP3/notube.net/pt/faq.html	(from https://notube.net/convert-pt/pt)
13:13:54	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Mar%202020%2010:13:54%20GMT	http://notube.net/pt/youtube%20converter-youtube	C:/Users/Hamza/Desktop/YouTube%20MP3/notube.net/pt/youtube%20converter-youtube	(from https://notube.net/convert-pt/pt)
13:13:54	11672/11672	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2010:13:54%20GMT	https://notube.net/pt/contact	C:/Users/Hamza/Desktop/YouTube%20MP3/notube.net/pt/contact.html	(from https://notube.net/convert-pt/pt)
13:13:55	9534/9534	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Mar%202020%2010:13:55%20GMT	https://notube.net/pt/youtube%20converter-youtube	C:/Users/Hamza/Desktop/YouTube%20MP3/notube.net/pt/youtube%20converter-youtube	(from https://notube.net/convert-pt/pt)
13:13:55	25160/25160	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2010:13:55%20GMT	https://notube.net/pt/conversor-do-youtube	C:/Users/Hamza/Desktop/YouTube%20MP3/notube.net/pt/conversor-do-youtube.html	(from https://notube.net/convert-pt/pt)
13:13:56	16156/16156	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2010:13:56%20GMT	https://notube.net/pt/dmca	C:/Users/Hamza/Desktop/YouTube%20MP3/notube.net/pt/dmca.html	(from https://notube.net/convert-pt/pt)
13:13:56	16175/16175	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2010:13:56%20GMT	https://notube.net/ru/faq	C:/Users/Hamza/Desktop/YouTube%20MP3/notube.net/ru/faq.html	(from https://notube.net/convert-ru/ru)
13:13:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Mar%202020%2010:13:57%20GMT	http://notube.net/en/youtube-converter-youtube	C:/Users/Hamza/Desktop/YouTube%20MP3/notube.net/en/youtube-converter-youtube	(from https://notube.net/convert-ru/ru)
13:13:57	12370/12370	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2010:13:56%20GMT	https://notube.net/ru/contact	C:/Users/Hamza/Desktop/YouTube%20MP3/notube.net/ru/contact.html	(from https://notube.net/convert-ru/ru)
13:13:57	9511/9511	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Mar%202020%2010:13:57%20GMT	https://notube.net/en/youtube-converter-youtube	C:/Users/Hamza/Desktop/YouTube%20MP3/notube.net/en/youtube-converter-youtube	(from https://notube.net/convert-ru/ru)
13:13:58	27345/27345	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2010:13:58%20GMT	https://notube.net/ru/youtube-converter	C:/Users/Hamza/Desktop/YouTube%20MP3/notube.net/ru/youtube-converter.html	(from https://notube.net/convert-ru/ru)
13:13:58	18687/18687	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2010:13:58%20GMT	https://notube.net/ru/dmca	C:/Users/Hamza/Desktop/YouTube%20MP3/notube.net/ru/dmca.html	(from https://notube.net/convert-ru/ru)
